,beds,baths,size,zip_code,price
88,1,1.0,582.0,98109,171.82130584192439
89,2,2.0,1006.0,98121,99.40357852882704
90,3,5.5,1530.0,98103,65.359477124183
91,2,1.0,820.0,98118,121.95121951219512
92,3,2.0,1960.0,98105,51.02040816326531
93,4,3.0,2110.0,98133,47.39336492890995
94,4,3.5,3010.0,98106,33.222591362126245
95,3,1.0,2200.0,98105,45.45454545454545
96,3,2.5,1820.0,98118,54.94505494505494
97,4,4.0,3040.0,98119,32.89473684210526
98,3,2.0,1800.0,98118,55.55555555555556
99,1,1.0,800.0,98122,125.0
100,3,3.0,1450.0,98117,68.96551724137932
101,1,1.0,756.0,98121,132.27513227513228
102,1,1.0,742.0,98126,134.77088948787062
103,4,2.0,2400.0,98119,41.666666666666664
104,2,2.0,1607.0,98101,62.22775357809583
105,4,3.5,3057.0,98117,32.71180896303566
106,1,1.0,649.0,98105,154.08320493066256
107,4,4.0,3142.0,98119,31.826861871419478
108,3,1.0,1050.0,98106,95.23809523809524
109,3,2.0,1720.0,98199,58.13953488372093
110,3,3.5,2650.0,98136,37.735849056603776
111,2,1.5,2680.0,98102,37.3134328358209
112,4,2.5,2550.0,98115,39.21568627450981
113,9,4.0,3800.0,98116,26.31578947368421
114,2,2.0,1320.0,98125,75.75757575757575
115,4,2.0,1910.0,98168,52.35602094240838
116,2,1.0,773.0,98133,129.36610608020698
117,1,1.0,589.0,98121,169.7792869269949
118,1,1.0,510.0,98102,196.07843137254903
119,4,3.5,2661.0,98108,37.579857196542655
120,2,2.0,843.0,98103,118.62396204033215
121,4,3.0,2250.0,98115,44.44444444444444
122,4,1.5,2080.0,98116,48.07692307692308
123,3,3.5,1370.0,98117,72.99270072992701
124,1,1.0,699.0,98115,143.0615164520744
125,2,3.0,1840.0,98125,54.34782608695652
126,4,3.5,3040.0,98177,32.89473684210526
127,2,1.0,858.0,98144,116.55011655011656
128,5,8.5,3110.0,98115,32.154340836012864
129,2,2.0,1147.0,98115,87.18395815170008
130,2,1.0,868.0,98144,115.2073732718894
131,2,2.5,1538.0,98105,65.01950585175553
132,2,1.0,1480.0,98126,67.56756756756756
133,2,2.0,932.0,98103,107.29613733905579
134,2,2.0,981.0,98133,101.9367991845056
135,2,2.0,866.0,98107,115.47344110854503
136,4,3.5,2000.0,98115,50.0
137,3,3.5,1470.0,98117,68.02721088435374
138,2,2.0,1840.0,98122,54.34782608695652
139,4,2.0,2230.0,98125,44.84304932735426
140,2,1.5,1290.0,98115,77.51937984496124
141,3,2.5,1670.0,98178,59.880239520958085
142,1,1.0,630.0,98146,158.73015873015873
143,3,2.0,1880.0,98144,53.191489361702125
144,2,2.0,1188.0,98102,84.17508417508418
145,2,1.5,1300.0,98133,76.92307692307692
146,1,1.0,857.0,98121,116.68611435239207
147,2,2.0,1071.0,98119,93.37068160597572
148,5,4.0,2810.0,98103,35.587188612099645
149,4,2.5,2400.0,98109,41.666666666666664
150,3,3.5,1670.0,98178,59.880239520958085
151,3,2.5,2734.0,98109,36.5764447695684
152,3,2.5,1670.0,98117,59.880239520958085
153,3,3.0,1530.0,98126,65.359477124183
154,4,1.0,1720.0,98122,58.13953488372093
155,3,1.0,1200.0,98105,83.33333333333333
156,5,3.0,2030.0,98144,49.26108374384236
157,3,2.0,2370.0,98126,42.19409282700422
158,3,1.5,1720.0,98117,58.13953488372093
159,1,1.0,813.0,98121,123.00123001230013
160,3,2.0,1590.0,98106,62.893081761006286
161,1,1.0,626.0,98122,159.7444089456869
162,2,1.0,840.0,98108,119.04761904761905
163,2,2.0,1030.0,98122,97.0873786407767
164,5,2.5,2870.0,98168,34.84320557491289
165,1,1.0,792.0,98121,126.26262626262626
166,2,1.5,994.0,98106,100.6036217303823
167,3,2.0,1630.0,98168,61.34969325153374
168,3,1.5,1172.0,98122,85.32423208191126
169,3,2.0,1806.0,98126,55.370985603543744
170,4,2.5,3060.0,98115,32.6797385620915
171,5,3.5,3820.0,98118,26.17801047120419
172,2,2.0,1328.0,98104,75.3012048192771
173,3,2.5,2350.0,98115,42.5531914893617
174,3,2.5,2080.0,98117,48.07692307692308
175,3,1.0,1000.0,98118,100.0
176,2,1.5,1131.0,98144,88.41732979664015
177,4,3.0,2230.0,98178,44.84304932735426
178,5,3.0,3130.0,98122,31.94888178913738
179,5,3.0,3750.0,98107,26.666666666666668
180,2,2.0,1080.0,98144,92.5925925925926
181,2,2.0,1720.0,98116,58.13953488372093
182,1,1.0,854.0,98107,117.096018735363
183,3,2.0,1286.0,98136,77.76049766718506
184,2,1.5,1230.0,98122,81.30081300813008
185,2,1.0,1422.0,98117,70.32348804500704
186,4,3.5,3956.0,98125,25.278058645096056
187,6,5.0,3620.0,98119,27.624309392265193
188,3,1.5,1370.0,98178,72.99270072992701
189,1,1.0,700.0,98144,142.85714285714286
190,2,3.0,1824.0,98101,54.824561403508774
191,1,1.0,956.0,98104,104.60251046025104
192,4,2.0,2370.0,98115,42.19409282700422
193,4,2.5,2200.0,98106,45.45454545454545
194,6,3.0,3020.0,98178,33.11258278145695
195,5,3.0,3400.0,98168,29.41176470588235
196,3,1.0,1660.0,98115,60.24096385542169
197,4,2.0,2080.0,98178,48.07692307692308
198,2,1.5,917.0,98103,109.05125408942203
199,2,1.0,900.0,98126,111.11111111111111
200,4,4.5,3960.0,98144,25.252525252525253
201,1,1.0,889.0,98121,112.4859392575928
202,5,3.5,3310.0,98115,30.211480362537763
203,1,1.0,621.0,98133,161.0305958132045
204,3,3.5,1467.0,98144,68.1663258350375
205,4,2.0,1910.0,98106,52.35602094240838
206,3,2.5,1563.0,98118,63.97952655150352
207,5,3.5,3340.0,98106,29.940119760479043
208,4,3.0,2390.0,98119,41.84100418410042
209,2,1.5,1131.0,98144,88.41732979664015
210,2,2.0,1201.0,98103,83.2639467110741
211,3,3.0,1940.0,98199,51.54639175257732
212,1,1.0,519.0,98105,192.67822736030828
213,2,1.0,1760.0,98116,56.81818181818182
214,4,3.0,1680.0,98117,59.523809523809526
215,2,2.0,1192.0,98103,83.89261744966443
216,4,4.0,2300.0,98105,43.47826086956522
217,3,2.5,2304.0,98117,43.40277777777778
218,4,4.0,2650.0,98103,37.735849056603776
219,5,4.0,4210.0,98105,23.752969121140143
220,4,3.0,2840.0,98177,35.2112676056338
221,2,1.0,980.0,98107,102.04081632653062
222,4,4.5,2440.0,98105,40.98360655737705
223,2,2.0,1140.0,98117,87.71929824561404
224,4,3.5,1824.0,98103,54.824561403508774
225,2,2.0,1115.0,98121,89.68609865470852
226,4,3.0,2478.0,98105,40.35512510088781
227,2,2.0,1140.0,98133,87.71929824561404
228,3,1.5,1172.0,98122,85.32423208191126
229,2,2.0,1433.0,98136,69.78367062107466
230,3,2.0,1520.0,98117,65.78947368421052
231,3,2.5,1380.0,98106,72.46376811594203
232,15,6.0,11010.0,98112,9.082652134423252
233,4,2.0,1750.0,98105,57.142857142857146
234,3,2.5,3590.0,98103,27.855153203342617
235,1,1.0,646.0,98133,154.79876160990713
236,5,3.0,2040.0,98118,49.01960784313726
237,2,2.0,1560.0,98115,64.1025641025641
238,2,2.5,1088.0,98107,91.91176470588235
239,2,1.0,1460.0,98115,68.4931506849315
240,3,2.0,1380.0,98117,72.46376811594203
241,2,1.0,1000.0,98116,100.0
242,2,2.0,1128.0,98144,88.65248226950355
243,1,1.0,776.0,98116,128.8659793814433
244,3,2.5,2000.0,98106,50.0
245,3,2.0,2029.0,98115,49.28536224741252
246,4,5.5,2867.0,98115,34.87966515521451
247,4,3.0,1180.0,98117,84.7457627118644
248,3,2.0,1920.0,98199,52.083333333333336
249,2,2.0,2220.0,98126,45.04504504504504
250,2,3.0,1300.0,98107,76.92307692307692
251,1,1.0,596.0,98109,167.78523489932886
252,3,2.0,1460.0,98106,68.4931506849315
253,3,2.5,2500.0,98117,40.0
254,3,2.5,1540.0,98122,64.93506493506493
255,5,3.0,2550.0,98106,39.21568627450981
256,2,2.0,1018.0,98199,98.23182711198429
257,3,2.5,1520.0,98106,65.78947368421052
258,1,1.0,640.0,98104,156.25
259,4,3.0,2190.0,98126,45.662100456621005
260,2,1.0,930.0,98133,107.52688172043011
261,5,2.5,2900.0,98106,34.48275862068966
262,4,3.5,2780.0,98112,35.97122302158273
263,3,1.0,2560.0,98125,39.0625
264,1,1.0,613.0,98122,163.1321370309951
265,3,2.5,1566.0,98122,63.85696040868455
266,2,2.0,1245.0,98168,80.32128514056225
267,3,2.5,1190.0,98144,84.03361344537815
268,5,2.5,2760.0,98126,36.231884057971016
269,4,1.5,3260.0,98199,30.67484662576687
270,4,3.0,2380.0,98115,42.016806722689076
271,2,2.5,1884.0,98116,53.07855626326964
272,3,2.5,1712.0,98117,58.41121495327103
273,2,2.0,1196.0,98107,83.61204013377926
274,3,2.0,1098.0,98105,91.07468123861567
275,3,3.0,1250.0,98117,80.0
276,1,1.0,880.0,98122,113.63636363636364
277,2,1.5,822.0,98144,121.65450121654501
278,4,2.0,1595.0,98118,62.69592476489028
279,3,3.0,2380.0,98136,42.016806722689076
280,3,2.0,3190.0,98112,31.34796238244514
281,3,2.5,1465.0,98119,68.25938566552901
282,4,2.0,2910.0,98115,34.36426116838488
283,2,3.0,1140.0,98144,87.71929824561404
284,1,1.0,500.0,98168,200.0
285,3,2.0,1580.0,98126,63.29113924050633
286,1,1.0,683.0,98121,146.41288433382138
287,5,3.0,2430.0,98133,41.1522633744856
288,2,2.0,1128.0,98136,88.65248226950355
289,2,2.0,2360.0,98199,42.3728813559322
290,3,2.5,1396.0,98136,71.63323782234957
291,1,1.0,615.0,98102,162.60162601626016
292,4,2.0,2340.0,98115,42.73504273504273
293,4,1.5,2140.0,98125,46.728971962616825
294,4,3.0,2980.0,98105,33.557046979865774
295,3,1.5,1390.0,98168,71.94244604316546
296,2,1.0,720.0,98106,138.88888888888889
297,1,1.0,712.0,98133,140.4494382022472
298,4,2.5,1850.0,98108,54.054054054054056
299,3,4.5,1710.0,98126,58.47953216374269
300,2,1.0,970.0,98106,103.09278350515464
301,3,2.0,1606.0,98109,62.266500622665006
302,3,2.5,1815.0,98103,55.09641873278237
303,2,1.0,1120.0,98122,89.28571428571429
304,4,2.0,2220.0,98177,45.04504504504504
305,1,1.0,570.0,98116,175.43859649122808
306,3,2.0,1460.0,98117,68.4931506849315
307,5,3.0,3820.0,98116,26.17801047120419
308,3,3.5,2480.0,98119,40.32258064516129
309,5,3.0,2777.0,98125,36.010082823190494
310,2,2.0,1170.0,98144,85.47008547008546
311,1,1.0,587.0,98125,170.35775127768312
312,3,1.0,1430.0,98103,69.93006993006993
313,2,5.5,1320.0,98144,75.75757575757575
314,2,2.0,2170.0,98116,46.08294930875576
315,1,1.0,635.0,98102,157.48031496062993
316,3,1.5,1630.0,98115,61.34969325153374
317,2,2.0,1900.0,98122,52.63157894736842
318,3,2.0,1760.0,98106,56.81818181818182
319,3,2.5,1712.0,98107,58.41121495327103
320,4,2.5,3190.0,98102,31.34796238244514
321,4,3.5,3590.0,98109,27.855153203342617
322,1,1.0,630.0,98133,158.73015873015873
323,2,2.0,1150.0,98121,86.95652173913044
324,5,2.0,1830.0,98118,54.6448087431694
325,2,1.0,760.0,98144,131.57894736842104
326,3,2.5,2600.0,98117,38.46153846153846
327,3,2.0,2130.0,98107,46.948356807511736
328,3,3.5,2899.0,98199,34.494653328734046
329,3,1.0,1090.0,98178,91.74311926605505
330,4,4.0,3360.0,98107,29.761904761904763
331,4,2.5,2240.0,98117,44.642857142857146
332,2,1.0,886.0,98112,112.86681715575621
333,3,2.0,1560.0,98106,64.1025641025641
334,4,2.0,1730.0,98146,57.80346820809248
335,3,2.0,1700.0,98115,58.8235294117647
336,4,3.5,1909.0,98103,52.38344683080147
337,3,2.0,2180.0,98117,45.87155963302752
338,1,1.0,681.0,98105,146.84287812041117
339,3,3.0,1460.0,98144,68.4931506849315
340,1,1.0,704.0,98119,142.04545454545453
341,2,1.0,1010.0,98125,99.00990099009901
342,2,2.5,1635.0,98102,61.162079510703364
343,2,1.5,1022.0,98144,97.84735812133073
344,3,1.0,990.0,98146,101.01010101010101
345,2,2.0,1164.0,98117,85.91065292096219
346,1,1.0,583.0,98119,171.52658662092625
347,2,1.5,888.0,98103,112.61261261261261
348,4,2.0,2740.0,98119,36.496350364963504
349,3,2.0,1670.0,98118,59.880239520958085
350,3,1.0,830.0,98125,120.48192771084338
351,2,2.0,1200.0,98122,83.33333333333333
352,3,3.5,2530.0,98102,39.52569169960474
353,4,3.0,2660.0,98117,37.59398496240601
354,4,2.0,2820.0,98117,35.46099290780142
355,2,1.0,1011.0,98103,98.91196834817013
356,2,1.5,1088.0,98106,91.91176470588235
357,6,3.5,3785.0,98117,26.42007926023778
358,3,2.0,1540.0,98144,64.93506493506493
359,2,1.5,1180.0,98168,84.7457627118644
360,3,3.5,1968.0,98199,50.8130081300813
361,1,1.0,610.0,98119,163.9344262295082
362,2,2.0,1346.0,98116,74.29420505200595
363,2,2.5,1320.0,98133,75.75757575757575
364,3,3.5,3064.0,98121,32.637075718015666
365,3,2.0,2980.0,98115,33.557046979865774
366,4,3.5,3050.0,98102,32.78688524590164
367,3,2.0,2020.0,98133,49.504950495049506
368,3,2.5,1926.0,98122,51.92107995846314
369,2,1.0,1330.0,98125,75.18796992481202
370,3,2.0,2410.0,98199,41.49377593360996
371,2,2.5,1580.0,98106,63.29113924050633
372,3,1.0,1030.0,98105,97.0873786407767
373,3,3.0,1630.0,98168,61.34969325153374
374,4,2.5,2370.0,98146,42.19409282700422
375,1,1.0,783.0,98101,127.7139208173691
376,4,1.0,1310.0,98146,76.33587786259542
377,3,2.0,1996.0,98117,50.100200400801604
378,3,2.0,1580.0,98126,63.29113924050633
379,1,1.0,781.0,98122,128.04097311139566
380,2,2.0,1517.0,98105,65.91957811470007
381,4,2.0,2360.0,98115,42.3728813559322
382,3,2.0,1496.0,98144,66.84491978609626
383,2,2.5,1250.0,98117,80.0
384,2,2.0,1810.0,98119,55.248618784530386
385,1,1.0,531.0,98121,188.32391713747646
386,4,2.5,2380.0,98105,42.016806722689076
387,2,2.0,1095.0,98177,91.32420091324201
388,2,2.0,1080.0,98106,92.5925925925926
389,2,2.0,1146.0,98112,87.26003490401396
390,4,2.5,1544.0,98117,64.76683937823834
391,1,1.0,707.0,98122,141.44271570014143
392,4,3.0,2067.0,98122,48.37929366231253
393,4,3.0,2360.0,98115,42.3728813559322
394,2,2.0,724.0,98103,138.12154696132598
395,2,2.5,1649.0,98118,60.64281382656155
396,5,2.5,2180.0,98118,45.87155963302752
397,3,2.0,1960.0,98199,51.02040816326531
398,1,1.0,727.0,98103,137.5515818431912
399,3,2.0,1209.0,98116,82.71298593879239
400,1,1.0,650.0,98116,153.84615384615384
401,5,3.0,3070.0,98117,32.57328990228013
402,4,2.5,2130.0,98136,46.948356807511736
403,4,2.5,2220.0,98144,45.04504504504504
404,4,3.0,2288.0,98126,43.70629370629371
405,2,2.0,1370.0,98121,72.99270072992701
406,5,3.0,3120.0,98178,32.05128205128205
407,4,2.5,2180.0,98115,45.87155963302752
408,3,2.0,1590.0,98146,62.893081761006286
409,3,1.5,2220.0,98115,45.04504504504504
410,1,1.0,813.0,98178,123.00123001230013
411,1,1.0,574.0,98109,174.21602787456445
412,4,2.0,2480.0,98122,40.32258064516129
413,4,3.0,3320.0,98116,30.120481927710845
414,2,1.0,1720.0,98118,58.13953488372093
415,3,2.0,2050.0,98109,48.78048780487805
416,4,3.0,2370.0,98115,42.19409282700422
417,4,5.0,3660.0,98118,27.3224043715847
418,3,3.5,1670.0,98107,59.880239520958085
419,2,3.5,990.0,98178,101.01010101010101
420,3,3.0,3120.0,98199,32.05128205128205
421,3,2.0,2260.0,98199,44.24778761061947
422,2,1.0,650.0,98103,153.84615384615384
423,3,3.5,1540.0,98126,64.93506493506493
424,3,3.5,1980.0,98144,50.505050505050505
425,3,1.0,2160.0,98115,46.2962962962963
426,4,2.5,3080.0,98117,32.467532467532465
427,2,3.0,1740.0,98105,57.47126436781609
428,3,2.0,1900.0,98112,52.63157894736842
429,9,5.0,3940.0,98133,25.380710659898476
430,2,1.5,1366.0,98116,73.20644216691069
431,4,1.5,1920.0,98125,52.083333333333336
432,1,1.0,715.0,98115,139.86013986013987
433,3,2.5,1610.0,98107,62.11180124223603
434,6,4.0,2960.0,98199,33.78378378378378
435,4,2.0,1810.0,98117,55.248618784530386
436,2,2.0,1125.0,98102,88.88888888888889
437,2,2.0,1893.0,98115,52.826201796090864
438,3,2.0,1096.0,98117,91.24087591240875
439,3,4.5,3760.0,98199,26.595744680851062
440,4,2.5,2720.0,98136,36.76470588235294
441,2,2.0,1510.0,98105,66.2251655629139
442,2,2.0,1350.0,98119,74.07407407407408
443,4,3.5,2980.0,98112,33.557046979865774
444,2,2.0,1443.0,98168,69.3000693000693
445,2,2.0,1170.0,98115,85.47008547008546
446,5,2.0,2260.0,98117,44.24778761061947
447,3,2.0,1990.0,98146,50.25125628140704
448,2,1.5,1555.0,98122,64.30868167202573
449,3,2.0,2350.0,98122,42.5531914893617
450,2,1.0,1440.0,98125,69.44444444444444
451,1,1.0,627.0,98107,159.4896331738437
452,1,1.0,551.0,98121,181.48820326678765
453,2,1.0,770.0,98126,129.87012987012986
454,3,2.5,1570.0,98103,63.69426751592356
455,1,1.0,699.0,98199,143.0615164520744
456,3,3.0,2650.0,98105,37.735849056603776
457,2,1.5,1070.0,98103,93.45794392523365
458,3,0.5,1941.0,98103,51.51983513652756
459,3,2.5,2030.0,98115,49.26108374384236
460,2,1.0,1620.0,98178,61.72839506172839
461,2,2.5,1400.0,98103,71.42857142857143
462,3,2.0,2354.0,98115,42.48088360237893
463,2,3.5,1155.0,98118,86.58008658008659
464,3,1.0,1340.0,98177,74.6268656716418
465,2,1.0,903.0,98146,110.74197120708749
466,3,1.5,1220.0,98103,81.9672131147541
467,2,1.0,1250.0,98118,80.0
468,2,2.0,1040.0,98133,96.15384615384616
469,2,1.0,1660.0,98109,60.24096385542169
470,1,1.0,744.0,98115,134.40860215053763
471,2,1.5,805.0,98107,124.22360248447205
472,3,1.0,1060.0,98117,94.33962264150944
473,5,3.5,3160.0,98112,31.645569620253166
474,3,3.0,1120.0,98168,89.28571428571429
475,4,2.5,1881.0,98133,53.1632110579479
476,5,2.5,3460.0,98144,28.90173410404624
477,1,1.0,376.0,98199,265.9574468085106
478,2,2.0,880.0,98126,113.63636363636364
479,1,1.0,794.0,98121,125.94458438287154
480,3,2.0,1340.0,98103,74.6268656716418
481,4,2.5,2560.0,98116,39.0625
482,4,2.0,2178.0,98133,45.91368227731864
483,2,1.0,1180.0,98122,84.7457627118644
484,4,3.5,3220.0,98199,31.055900621118013
485,3,3.0,2070.0,98136,48.309178743961354
486,3,2.5,2131.0,98119,46.92632566870014
487,2,3.0,970.0,98102,103.09278350515464
488,6,3.5,2430.0,98108,41.1522633744856
489,3,2.5,1395.0,98116,71.68458781362007
490,3,2.5,1810.0,98125,55.248618784530386
491,2,1.0,904.0,98122,110.61946902654867
492,1,1.0,717.0,98109,139.4700139470014
493,5,3.0,2170.0,98178,46.08294930875576
494,4,3.0,3120.0,98144,32.05128205128205
495,3,2.0,1870.0,98136,53.475935828877006
496,4,3.5,2285.0,98116,43.7636761487965
497,3,2.5,2783.0,98199,35.932446999640675
498,4,2.0,2540.0,98107,39.37007874015748
499,2,2.0,1734.0,98109,57.67012687427912
500,2,1.0,1010.0,98125,99.00990099009901
501,3,2.5,1420.0,98103,70.4225352112676
502,3,1.0,1410.0,98118,70.92198581560284
503,3,2.0,2320.0,98115,43.10344827586207
504,1,1.0,553.0,98103,180.83182640144665
505,3,2.0,1719.0,98103,58.17335660267597
506,4,2.0,2037.0,98119,49.09180166912126
507,1,1.0,954.0,98101,104.82180293501048
508,2,1.5,1370.0,98115,72.99270072992701
509,2,1.0,1480.0,98117,67.56756756756756
510,5,4.5,3636.0,98115,27.502750275027502
511,3,1.5,1780.0,98126,56.17977528089887
512,3,2.0,1094.0,98108,91.40767824497257
513,1,1.0,830.0,98103,120.48192771084338
514,2,2.0,834.0,98126,119.9040767386091
515,2,1.5,1035.0,98112,96.61835748792271
516,4,3.0,2790.0,98133,35.842293906810035
517,2,2.0,859.0,98126,116.41443538998836
518,4,3.5,5690.0,98112,17.57469244288225
519,2,1.0,772.0,98103,129.5336787564767
520,3,1.0,1430.0,98168,69.93006993006993
521,3,2.5,1460.0,98106,68.4931506849315
522,3,2.5,1386.0,98107,72.15007215007215
523,5,3.0,2310.0,98106,43.29004329004329
524,2,1.5,1340.0,98115,74.6268656716418
525,2,4.0,1291.0,98116,77.45933384972889
526,3,2.5,2320.0,98116,43.10344827586207
527,3,2.5,2150.0,98116,46.51162790697674
528,2,2.0,1885.0,98115,53.05039787798408
529,3,2.0,1425.0,98117,70.17543859649123
530,3,2.5,1810.0,98107,55.248618784530386
531,2,1.0,1280.0,98118,78.125
532,3,3.0,1480.0,98117,67.56756756756756
533,3,3.0,2110.0,98177,47.39336492890995
534,2,1.0,1027.0,98115,97.37098344693281
535,1,1.0,808.0,98101,123.76237623762377
536,3,2.5,1569.0,98107,63.73486297004462
537,3,3.0,2247.0,98109,44.50378282153983
538,3,1.0,1220.0,98107,81.9672131147541
539,2,1.0,1060.0,98103,94.33962264150944
540,4,2.0,1920.0,98118,52.083333333333336
541,1,1.0,804.0,98116,124.37810945273633
542,2,1.0,813.0,98116,123.00123001230013
543,4,1.5,1740.0,98146,57.47126436781609
544,3,1.5,2230.0,98117,44.84304932735426
545,4,2.5,2760.0,98178,36.231884057971016
546,3,3.0,1660.0,98118,60.24096385542169
547,3,2.5,1360.0,98112,73.52941176470588
548,4,4.5,5200.0,98118,19.23076923076923
549,3,2.5,1573.0,98107,63.57279084551812
550,1,1.0,700.0,98101,142.85714285714286
551,4,3.0,1700.0,98146,58.8235294117647
552,4,3.5,2560.0,98144,39.0625
553,3,2.0,1330.0,98122,75.18796992481202
554,4,2.0,2180.0,98115,45.87155963302752
555,3,2.0,1350.0,98103,74.07407407407408
556,2,1.5,1720.0,98144,58.13953488372093
557,4,3.5,3060.0,98136,32.6797385620915
558,2,2.0,954.0,98133,104.82180293501048
559,2,2.5,1460.0,98106,68.4931506849315
560,4,3.0,1540.0,98105,64.93506493506493
561,1,1.0,709.0,98109,141.04372355430183
562,3,1.5,2560.0,98118,39.0625
563,1,1.0,534.0,98119,187.26591760299627
564,2,2.5,1440.0,98144,69.44444444444444
565,1,1.0,627.0,98121,159.4896331738437
566,3,2.5,1324.0,98126,75.52870090634441
567,2,2.0,1290.0,98125,77.51937984496124
568,1,1.0,748.0,98122,133.6898395721925
569,2,2.5,1830.0,98116,54.6448087431694
570,3,2.0,1660.0,98115,60.24096385542169
571,3,1.0,1964.0,98168,50.91649694501018
572,3,2.0,1460.0,98116,68.4931506849315
573,1,1.0,683.0,98119,146.41288433382138
574,4,2.0,2060.0,98115,48.54368932038835
575,4,2.0,1160.0,98103,86.20689655172414
576,3,2.0,1540.0,98144,64.93506493506493
577,1,1.0,529.0,98118,189.0359168241966
578,2,1.0,1860.0,98105,53.763440860215056
579,1,1.0,648.0,98115,154.320987654321
580,5,4.0,4490.0,98122,22.271714922048996
581,6,4.0,2310.0,98108,43.29004329004329
582,3,3.5,3130.0,98105,31.94888178913738
583,2,1.0,2110.0,98146,47.39336492890995
584,3,1.5,1590.0,98108,62.893081761006286
585,3,2.5,1280.0,98105,78.125
586,2,1.0,840.0,98118,119.04761904761905
587,3,2.0,2020.0,98125,49.504950495049506
588,4,3.0,3610.0,98105,27.700831024930746
589,4,3.5,2336.0,98115,42.80821917808219
